Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;DamageDone;HealthRemaining;TotalHealth;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-13 10:56:06.8674;1;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 10:56:07.5918;29;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 10:56:07.5918;29;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameStarted;2024-05-13 10:56:26.6887;4588;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-13 10:56:26.6957;4588;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;NULL;0.0000;0.0000;1.6000;0.0000;1.6000;NULL;NULL
Resting;2024-05-13 10:56:42.7469;8359;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;NULL;0.8557;0.0000;1.1443;0.4557;1.6000;NULL;NULL
MotorImagery;2024-05-13 10:56:42.9117;8398;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;ReceivingData;0.8557;NULL;NULL;NULL;NULL;1;(0.833 0.829 0.856 0.858 0.856 0.736 0.783 0.801 )
MotorImagery;2024-05-13 10:56:53.6418;10939;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;2;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
MotorImagery;2024-05-13 10:56:54.7863;11204;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;3;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
MotorImagery;2024-05-13 10:56:55.9234;11469;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;ReceivingData;0.7721;NULL;NULL;NULL;NULL;4;(0.865 0.831 0.788 0.781 0.772 0.900 0.900 0.885 )
Resting;2024-05-13 10:56:56.8014;11675;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;NULL;0.7330;0.0000;0.6036;0.9964;1.6000;NULL;NULL
MotorImagery;2024-05-13 10:57:09.4532;14695;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;5;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
MotorImagery;2024-05-13 10:57:10.5844;14957;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;ReceivingData;0.7722;NULL;NULL;NULL;NULL;6;(0.755 0.784 0.788 0.789 0.795 0.796 0.766 0.772 )
Resting;2024-05-13 10:57:10.8605;15021;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;NULL;0.7629;0.0000;0.2080;1.3920;1.6000;NULL;NULL
MotorImagery;2024-05-13 10:57:23.1010;17890;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;7;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
Resting;2024-05-13 10:57:24.9237;18301;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;NULL;0.8735;0.0000;1.6000;0.0000;1.6000;NULL;NULL
Resting;2024-05-13 10:57:38.9859;21587;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;NULL;0.8293;0.0000;1.1675;0.4325;1.6000;NULL;NULL
Resting;2024-05-13 10:57:53.0442;24921;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;NULL;0.4301;0.0000;1.0401;0.5599;1.6000;NULL;NULL
MotorImagery;2024-05-13 10:58:06.2575;28053;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;ReceivingData;0.7324;NULL;NULL;NULL;NULL;8;(0.713 0.739 0.786 0.791 0.752 0.750 0.723 0.732 )
Resting;2024-05-13 10:58:07.1019;28250;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;NULL;0.7888;0.0000;0.6493;0.9507;1.6000;NULL;NULL
Resting;2024-05-13 10:58:21.1662;31552;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;NULL;0.8584;0.0000;0.1909;1.4091;1.6000;NULL;NULL
MotorImagery;2024-05-13 10:58:21.1912;31558;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;ReceivingData;0.8557;NULL;NULL;NULL;NULL;9;(0.833 0.829 0.856 0.858 0.856 0.736 0.783 0.801 )
MotorImagery;2024-05-13 10:58:35.4598;34818;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;ReceivingData;0.8557;NULL;NULL;NULL;NULL;10;(0.833 0.829 0.856 0.858 0.856 0.736 0.783 0.801 )
GameStopped;2024-05-13 10:58:42.7729;36546;f881cd8cfbfb90fb4f2547ce9d8c92e5;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
