Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;BCIThresholdBuffer;MaxConfidence;DamageDone;HealthRemaining;TotalHealth
BCIStateUpdated;2024-05-09 09:45:52.3522;1;3886421c34ebe0721791057358240788;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-09 09:45:55.5324;22;3886421c34ebe0721791057358240788;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-09 09:45:55.6441;39;3886421c34ebe0721791057358240788;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 09:46:05.8494;1635;3886421c34ebe0721791057358240788;anonymous;ReceivingData;0.8999;1;(0.933 0.934 0.924 0.900 0.823 0.882 0.901 0.922 );NULL;NULL;NULL;NULL
Rest;2024-05-09 09:46:06.4838;1736;3886421c34ebe0721791057358240788;anonymous;ReceivingData;0.7910;1;(0.907 0.919 0.918 0.909 0.903 0.851 0.822 0.791 );NULL;NULL;NULL;NULL
GameStarted;2024-05-09 09:46:34.2475;6193;3886421c34ebe0721791057358240788;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-09 09:46:34.2585;6193;3886421c34ebe0721791057358240788;anonymous;NULL;0.4388;NULL;NULL;0.0000;1.6000;0.0000;1.6000
Resting;2024-05-09 09:46:50.3160;8756;3886421c34ebe0721791057358240788;anonymous;NULL;0.4082;NULL;NULL;0.0000;1.1981;0.4019;1.6000
Resting;2024-05-09 09:47:04.3716;11029;3886421c34ebe0721791057358240788;anonymous;NULL;0.2148;NULL;NULL;0.0000;0.7742;0.8258;1.6000
MotorImagery;2024-05-09 09:47:10.9143;12079;3886421c34ebe0721791057358240788;anonymous;ReceivingData;0.8481;2;(0.868 0.846 0.848 0.822 0.837 0.890 0.887 0.890 );NULL;NULL;NULL;NULL
Rest;2024-05-09 09:47:11.0475;12101;3886421c34ebe0721791057358240788;anonymous;ReceivingData;0.7915;2;(0.868 0.846 0.848 0.832 0.792 0.890 0.887 0.890 );NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 09:47:13.9982;12575;3886421c34ebe0721791057358240788;anonymous;ReceivingData;0.8514;3;(0.862 0.896 0.868 0.865 0.876 0.851 0.837 0.865 );NULL;NULL;NULL;NULL
Rest;2024-05-09 09:47:14.0950;12591;3886421c34ebe0721791057358240788;anonymous;ReceivingData;0.8001;3;(0.862 0.896 0.868 0.865 0.876 0.851 0.800 0.865 );NULL;NULL;NULL;NULL
Resting;2024-05-09 09:47:18.4335;13296;3886421c34ebe0721791057358240788;anonymous;NULL;0.7400;NULL;NULL;0.0000;0.2778;1.3222;1.6000
Resting;2024-05-09 09:47:32.5080;15508;3886421c34ebe0721791057358240788;anonymous;NULL;0.5080;NULL;NULL;0.0000;1.6000;0.0000;1.6000
Resting;2024-05-09 09:47:46.5706;17745;3886421c34ebe0721791057358240788;anonymous;NULL;0.5620;NULL;NULL;0.5620;1.2004;0.3996;1.6000
Resting;2024-05-09 09:48:00.6300;19995;3886421c34ebe0721791057358240788;anonymous;NULL;0.5049;NULL;NULL;0.0000;0.7396;0.8604;1.6000
Resting;2024-05-09 09:48:14.6942;22237;3886421c34ebe0721791057358240788;anonymous;NULL;0.5090;NULL;NULL;0.0000;0.3316;1.2684;1.6000
Resting;2024-05-09 09:48:28.7563;24442;3886421c34ebe0721791057358240788;anonymous;NULL;0.2613;NULL;NULL;0.0000;0.0092;1.5908;1.6000
GameStopped;2024-05-09 09:48:48.8191;27589;3886421c34ebe0721791057358240788;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
