Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;DamageDone;HealthRemaining;TotalHealth;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-09 11:16:01.5309;1;b3c51d187d635430fe73b39c551d0b2d;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-09 11:16:04.7157;21;b3c51d187d635430fe73b39c551d0b2d;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-09 11:16:04.7815;26;b3c51d187d635430fe73b39c551d0b2d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameStarted;2024-05-09 11:16:56.2418;8177;b3c51d187d635430fe73b39c551d0b2d;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-09 11:16:56.2523;8177;b3c51d187d635430fe73b39c551d0b2d;anonymous;NULL;0.0000;0.0000;1.6000;0.0000;1.6000;NULL;NULL
MotorImagery;2024-05-09 11:16:58.9921;8593;b3c51d187d635430fe73b39c551d0b2d;anonymous;ReceivingData;0.7505;NULL;NULL;NULL;NULL;1;(0.738 0.715 0.750 0.688 0.736 0.715 0.736 0.741 )
Rest;2024-05-09 11:16:59.3793;8653;b3c51d187d635430fe73b39c551d0b2d;anonymous;ReceivingData;0.6587;NULL;NULL;NULL;NULL;1;(0.659 0.715 0.750 0.711 0.707 0.691 0.700 0.690 )
MotorImagery;2024-05-09 11:17:00.9139;8894;b3c51d187d635430fe73b39c551d0b2d;anonymous;ReceivingData;0.6980;NULL;NULL;NULL;NULL;2;(0.801 0.757 0.698 0.721 0.744 0.759 0.783 0.801 )
Rest;2024-05-09 11:17:01.0368;8913;b3c51d187d635430fe73b39c551d0b2d;anonymous;ReceivingData;0.6242;NULL;NULL;NULL;NULL;2;(0.801 0.757 0.698 0.708 0.624 0.759 0.783 0.801 )
Resting;2024-05-09 11:17:12.3143;10678;b3c51d187d635430fe73b39c551d0b2d;anonymous;NULL;0.3507;0.3507;1.2482;0.3518;1.6000;NULL;NULL
