Tidsstempel,The goal of the game was clear to me (+),Striking the wood was not too difficult (+),I was fully focused on MI when lifting the axe (+),I felt frustrated when I did low damage to the wood (-),The game gave clear feedback on how well I struck the wood (+),I felt free to play the game in my own way (+),I felt in control of how hard I struck the wood (+),Striking the wood hard was not too easy (+),I felt I was good at playing this game (+),It was easy to know how to strike the wood hard (+),I had a good time playing this game (+),The goal of the game was clear to me (+),Hitting the golf ball was not too difficult (+),I was fully focused on MI when  winding up a shot   (+),I felt frustrated when I missed the ball (-),The game gave clear feedback on how well I hit the golf ball (+),I felt free to play the game in my own way (+),I felt in control of how hard I hit the golf ball (+),Hitting the golf ball was not too easy (+),I felt I was good at playing this game (+),It was easy to know how to shoot the golf ball far (+),I had a good time playing this game (+),The goal of the game was clear to me (+),Choosing a colour was not too difficult (+),I was fully focused on MI when choosing colours (+),I felt frustrated when the clock chose the wrong colour (-),The game gave clear feedback on what colour was chosen (+),I felt free to play the game in my own way (+),I felt in control of what colours were chosen (+),Choosing a colour was not too easy (+),I felt I was good at playing this game (+),It was easy to know how to choose the colours I wanted (+),I had a good time playing this game (+)
15/05/2024 09.30.16,3,2,2,-3,3,0,1,-2,2,1,2,3,1,3,-2,2,0,1,-1,0,1,2,3,3,1,-2,3,2,2,2,0,2,0
15/05/2024 09.33.18,3,-2,2,2,3,0,-1,1,1,-1,2,2,1,2,1,2,0,1,-2,1,-1,1,3,3,3,0,2,2,3,-3,3,3,3
15/05/2024 09.36.42,3,-2,3,3,3,-2,-3,3,-3,-2,0,3,0,3,2,3,-2,-2,3,-2,-2,0,3,-3,3,3,3,0,-3,3,-3,-2,-1
15/05/2024 09.45.28,3,3,3,-1,2,-2,1,-3,3,1,1,3,2,2,2,1,-2,0,-1,1,-2,-1,3,2,2,1,3,3,3,-1,3,3,3
15/05/2024 09.48.47,3,2,3,2,-1,-2,1,-1,2,3,2,2,3,3,0,-2,-2,-2,-3,2,3,1,2,-2,2,2,3,3,-2,1,-1,3,0
15/05/2024 10.00.44,3,2,1,0,-2,0,0,0,-1,0,0,3,2,2,0,2,-1,-2,0,0,0,1,2,3,0,-2,1,2,2,-2,3,2,1
15/05/2024 10.03.25,3,2,3,-3,3,-1,2,-2,2,2,3,3,2,1,-2,3,-1,2,-2,2,2,1,2,-1,2,0,3,3,2,2,-1,2,-1
15/05/2024 10.06.08,3,3,2,1,3,3,2,-1,3,3,3,3,2,3,2,3,3,2,1,3,3,3,3,1,2,-1,2,3,-1,1,3,3,3
15/05/2024 10.08.34,2,1,3,2,2,-2,-1,2,0,-1,1,3,1,3,2,3,-2,-1,1,0,0,1,3,2,3,2,3,-2,0,-1,0,2,1
15/05/2024 10.11.06,3,2,2,-3,-2,-1,-1,2,1,-2,-1,3,3,3,0,1,1,-1,-3,3,1,2,3,3,2,0,2,-2,3,-2,3,2,1
15/05/2024 10.13.24,3,1,3,3,3,2,3,0,2,2,3,2,-2,2,3,-2,-1,2,2,1,2,2,0,2,1,2,3,-1,2,-1,0,1,0
15/05/2024 10.16.05,2,2,2,-1,3,2,2,2,2,2,2,2,2,2,1,-1,1,-1,2,1,1,2,2,0,2,1,2,2,1,2,2,2,2
15/05/2024 10.17.48,3,2,2,2,1,0,3,-1,1,3,0,3,-1,3,3,3,0,2,1,0,3,-1,-1,2,3,0,-1,3,3,-2,1,3,0
15/05/2024 10.20.52,3,1,3,2,1,-1,2,0,-2,-2,2,3,1,2,3,2,-2,1,1,2,1,3,-1,-3,2,3,3,0,-2,-1,-3,-2,-1
15/05/2024 10.22.28,3,1,3,3,3,3,3,3,2,3,3,3,1,2,3,3,3,2,3,2,3,3,1,3,0,0,3,3,3,-3,2,3,2
