term,p_value,stars,data_type
-1|0,0.0003916322,***,Goal
0|1,0.0005939153,***,Goal
1|2,0.0009553008,***,Goal
2|3,0.0665596268,,Goal
VariableLumber,0.3850317543,,Goal
VariableSand,0.0627306092,,Goal
-3|-2,0.0004130897,***,Easy
-2|-1,0.0027792837,**,Easy
-1|0,0.0093685566,**,Easy
0|1,0.0283744527,*,Easy
1|2,0.8977025548,,Easy
2|3,0.0036936620,**,Easy
VariableLumber,0.6999944263,,Easy
VariableSand,0.6537126994,,Easy
0|1,0.0002205234,***,Focus
1|2,0.0010915040,**,Focus
2|3,0.9360007202,,Focus
VariableLumber,0.7938894101,,Focus
VariableSand,0.0903383650,,Focus
-3|-2,0.00000000000000000000,***,Frust
-2|-1,0.00000000000000000000,***,Frust
-1|0,0.00000000000003675585,***,Frust
0|1,0.01493429028457777565,*,Frust
1|2,0.44664018728417098636,,Frust
2|3,0.00746158448359027313,**,Frust
VariableLumber,0.00000000000000000000,***,Frust
VariableSand,0.00000000000000000000,***,Frust
-2|-1,0.002643602,**,Feed
-1|1,0.017915960,*,Feed
1|2,0.192180458,,Feed
2|3,0.489686912,,Feed
VariableLumber,0.704108609,,Feed
VariableSand,0.171261584,,Feed
-2|-1,0.193320905,,Free
-1|0,0.816475518,,Free
0|1,0.055881371,,Free
1|2,0.023264188,*,Free
2|3,0.001208038,**,Free
VariableLumber,0.534335109,,Free
VariableSand,0.003425976,**,Free
-3|-2,0.0013346853,**,Ctrl
-2|-1,0.0211564330,*,Ctrl
-1|0,0.5583254588,,Ctrl
0|1,0.9639762046,,Ctrl
1|2,0.1506773161,,Ctrl
2|3,0.0003324264,***,Ctrl
VariableLumber,0.1410116019,,Ctrl
VariableSand,0.0718505890,,Ctrl
-3|-2,0.0005166927,***,Hard
-2|-1,0.0280390647,*,Hard
-1|0,0.5360984407,,Hard
0|1,0.9132965222,,Hard
1|2,0.1299200926,,Hard
2|3,0.0020541820,**,Hard
VariableLumber,0.8820712842,,Hard
VariableSand,0.4999483860,,Hard
-3|-2,0.0005605122,***,Good
-2|-1,0.0011291162,**,Good
-1|0,0.0060902502,**,Good
0|1,0.2470645372,,Good
1|2,0.7416156252,,Good
2|3,0.0112460996,*,Good
VariableLumber,0.9720732977,,Good
VariableSand,0.8526558119,,Good
-2|-1,0.003526492,**,Know
-1|0,0.021080461,*,Know
0|1,0.080041789,,Know
1|2,0.692467513,,Know
2|3,0.063646010,,Know
VariableLumber,0.718522981,,Know
VariableSand,0.044495849,*,Know
-1|0,0.0008819404,***,Time
0|1,0.0547080784,,Time
1|2,0.9600635430,,Time
2|3,0.0216925496,*,Time
VariableLumber,0.6142373047,,Time
VariableSand,0.2786957543,,Time
