Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;Distance;DistRemaining;TotalDistance;BallWasHit;InputNumber
BCIStateUpdated;2024-05-08 14:29:08.6962;1;90509b5d6c408ea75fe7749999a67715;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-08 14:29:11.7334;29;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-08 14:29:11.8671;45;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-08 14:31:19.0624;27214;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.0216;0.0000;50.0000;0.0000;50.0000;FALSE;NULL
GameStarted;2024-05-08 14:31:19.0704;27214;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-08 14:31:31.2522;29764;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7502;NULL;NULL;NULL;NULL;NULL;1
SuccessfulHit;2024-05-08 14:31:31.2542;29764;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7255;0.7255;NULL;NULL;NULL;FALSE;NULL
Rest;2024-05-08 14:31:31.3563;29785;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7388;NULL;NULL;NULL;NULL;NULL;1
SuccessfulHit;2024-05-08 14:31:31.3563;29785;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7502;0.7502;NULL;NULL;NULL;FALSE;NULL
MotorImagery;2024-05-08 14:31:32.8907;30084;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7531;NULL;NULL;NULL;NULL;NULL;2
SuccessfulHit;2024-05-08 14:31:32.8907;30084;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7470;0.7502;NULL;NULL;NULL;FALSE;NULL
Rest;2024-05-08 14:31:33.1409;30136;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7195;NULL;NULL;NULL;NULL;NULL;2
SuccessfulHit;2024-05-08 14:31:33.1409;30136;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7583;0.7929;NULL;NULL;NULL;FALSE;NULL
Resting;2024-05-08 14:31:35.1161;30549;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.4184;0.7929;50.0000;0.0000;50.0000;TRUE;NULL
MotorImagery;2024-05-08 14:31:39.1524;31340;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7677;NULL;NULL;NULL;NULL;NULL;3
Rest;2024-05-08 14:31:39.3994;31392;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7204;NULL;NULL;NULL;NULL;NULL;3
MotorImagery;2024-05-08 14:31:46.8211;32950;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7509;NULL;NULL;NULL;NULL;NULL;4
SuccessfulHit;2024-05-08 14:31:46.8211;32950;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7460;0.7480;NULL;NULL;NULL;TRUE;NULL
Rest;2024-05-08 14:31:46.8384;32951;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7078;NULL;NULL;NULL;NULL;NULL;4
SuccessfulHit;2024-05-08 14:31:46.8384;32951;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7509;0.7509;NULL;NULL;NULL;TRUE;NULL
MotorImagery;2024-05-08 14:31:49.1283;33435;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7852;NULL;NULL;NULL;NULL;NULL;5
SuccessfulHit;2024-05-08 14:31:49.1283;33435;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7407;0.7509;NULL;NULL;NULL;TRUE;NULL
Resting;2024-05-08 14:31:49.1727;33444;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7852;0.7852;30.1780;19.8220;50.0000;TRUE;NULL
Rest;2024-05-08 14:31:49.6414;33534;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7077;NULL;NULL;NULL;NULL;NULL;5
MotorImagery;2024-05-08 14:31:59.9975;35615;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7995;NULL;NULL;NULL;NULL;NULL;6
SuccessfulHit;2024-05-08 14:31:59.9975;35615;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7276;0.7498;NULL;NULL;NULL;TRUE;NULL
Rest;2024-05-08 14:32:00.2502;35666;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7423;NULL;NULL;NULL;NULL;NULL;6
SuccessfulHit;2024-05-08 14:32:00.2512;35666;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7764;0.8211;NULL;NULL;NULL;TRUE;NULL
Resting;2024-05-08 14:32:03.2305;36294;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.6054;0.8211;10.5474;39.4526;50.0000;TRUE;NULL
Resting;2024-05-08 14:32:17.2394;39207;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.5755;0.7227;50.0000;0.0000;50.0000;FALSE;NULL
MotorImagery;2024-05-08 14:32:22.2359;40246;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7739;NULL;NULL;NULL;NULL;NULL;7
Rest;2024-05-08 14:32:22.7497;40354;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.6181;NULL;NULL;NULL;NULL;NULL;7
MotorImagery;2024-05-08 14:32:28.1223;41469;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7548;NULL;NULL;NULL;NULL;NULL;8
SuccessfulHit;2024-05-08 14:32:28.1223;41469;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7078;0.7078;NULL;NULL;NULL;FALSE;NULL
Rest;2024-05-08 14:32:28.3793;41521;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7290;NULL;NULL;NULL;NULL;NULL;8
SuccessfulHit;2024-05-08 14:32:28.3793;41521;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7930;0.8109;NULL;NULL;NULL;FALSE;NULL
Resting;2024-05-08 14:32:31.3006;42131;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7190;0.8109;50.0000;0.0000;50.0000;TRUE;NULL
MotorImagery;2024-05-08 14:32:41.0339;44069;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7630;NULL;NULL;NULL;NULL;NULL;9
SuccessfulHit;2024-05-08 14:32:41.0339;44069;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7348;0.7348;NULL;NULL;NULL;TRUE;NULL
Rest;2024-05-08 14:32:41.2817;44120;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.6928;NULL;NULL;NULL;NULL;NULL;9
SuccessfulHit;2024-05-08 14:32:41.2827;44120;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7561;0.7737;NULL;NULL;NULL;TRUE;NULL
MotorImagery;2024-05-08 14:32:43.2073;44521;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7507;NULL;NULL;NULL;NULL;NULL;10
SuccessfulHit;2024-05-08 14:32:43.2083;44521;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7412;0.7737;NULL;NULL;NULL;TRUE;NULL
Rest;2024-05-08 14:32:43.3201;44545;90509b5d6c408ea75fe7749999a67715;anonymous;ReceivingData;0.7451;NULL;NULL;NULL;NULL;NULL;10
SuccessfulHit;2024-05-08 14:32:43.3201;44545;90509b5d6c408ea75fe7749999a67715;anonymous;NULL;0.7507;0.7737;NULL;NULL;NULL;TRUE;NULL
