Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;MaxConfidence;BallWasHit;Distance;DistRemaining;TotalDistance
BCIStateUpdated;2024-05-09 09:37:40.8628;1;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-09 09:37:44.0371;22;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-09 09:37:44.0580;23;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2024-05-09 09:37:44.0590;23;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.8217;1;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:37:44.0628;23;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.0000;NULL;0.0000;FALSE;NULL;NULL;NULL
Rest;2024-05-09 09:37:44.5706;89;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.6305;1;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:37:44.5706;89;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7703;NULL;0.0000;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:37:52.3823;1335;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.8199;2;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:37:52.3823;1335;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7164;NULL;0.0000;FALSE;NULL;NULL;NULL
Rest;2024-05-09 09:37:52.8754;1415;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7361;2;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:37:52.8754;1415;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7917;NULL;0.0000;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:37:58.6305;2361;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7715;3;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:37:58.6305;2361;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7103;NULL;0.0000;FALSE;NULL;NULL;NULL
Rest;2024-05-09 09:37:59.1455;2444;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7488;3;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:37:59.1455;2444;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7872;NULL;0.0000;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:37:59.2781;2466;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7773;4;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:37:59.2781;2466;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7391;NULL;0.0000;FALSE;NULL;NULL;NULL
Rest;2024-05-09 09:37:59.2871;2467;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7446;4;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:37:59.2871;2467;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7773;NULL;0.0000;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:38:02.9861;3071;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.8246;5;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:38:02.9861;3071;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.7299;NULL;0.0000;FALSE;NULL;NULL;NULL
Rest;2024-05-09 09:38:04.0044;3237;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7448;5;NULL;NULL;NULL;NULL;NULL
SuccessfulHit;2024-05-09 09:38:04.0044;3237;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;NULL;0.8040;NULL;0.0000;FALSE;NULL;NULL;NULL
MotorImagery;2024-05-09 09:38:04.2702;3280;1d0f687f1a52d50e3d77bf52e8b60ede;anonymous;ReceivingData;0.7674;6;NULL;NULL;NULL;NULL;NULL
