Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;Distance;DistRemaining;TotalDistance;BallWasHit;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-10 09:47:07.0766;1;0c7397e0b438319a6a49eba66ef15709;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-10 09:47:07.9162;30;0c7397e0b438319a6a49eba66ef15709;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-10 09:47:07.9162;30;0c7397e0b438319a6a49eba66ef15709;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-10 09:47:55.9428;10670;0c7397e0b438319a6a49eba66ef15709;anonymous;NULL;0.0000;0.0000;50.0000;0.0000;50.0000;FALSE;NULL;NULL
GameStarted;2024-05-10 09:47:55.9478;10670;0c7397e0b438319a6a49eba66ef15709;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-10 09:48:11.9282;14055;0c7397e0b438319a6a49eba66ef15709;anonymous;NULL;0.7364;0.7364;50.0000;0.0000;50.0000;FALSE;NULL;NULL
Resting;2024-05-10 09:48:25.9354;17036;0c7397e0b438319a6a49eba66ef15709;anonymous;NULL;0.8557;0.8557;50.0000;0.0000;50.0000;FALSE;NULL;NULL
MotorImagery;2024-05-10 09:48:26.2119;17094;0c7397e0b438319a6a49eba66ef15709;anonymous;ReceivingData;0.8557;NULL;NULL;NULL;NULL;NULL;1;(0.833 0.829 0.856 0.858 0.856 0.736 0.783 0.801 )
Resting;2024-05-10 09:48:39.9410;19987;0c7397e0b438319a6a49eba66ef15709;anonymous;NULL;0.8557;0.8557;50.0000;0.0000;50.0000;FALSE;NULL;NULL
MotorImagery;2024-05-10 09:48:40.1563;20031;0c7397e0b438319a6a49eba66ef15709;anonymous;ReceivingData;0.8557;NULL;NULL;NULL;NULL;NULL;2;(0.833 0.829 0.856 0.858 0.856 0.736 0.783 0.801 )
MotorImagery;2024-05-10 09:48:51.3303;22396;0c7397e0b438319a6a49eba66ef15709;anonymous;ReceivingData;0.8229;NULL;NULL;NULL;NULL;NULL;3;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 )
SuccessfulHit;2024-05-10 09:48:51.3312;22396;0c7397e0b438319a6a49eba66ef15709;anonymous;NULL;0.8284;0.8513;NULL;NULL;NULL;FALSE;NULL;NULL
Resting;2024-05-10 09:48:54.0025;22953;0c7397e0b438319a6a49eba66ef15709;anonymous;NULL;0.8439;0.8513;50.0000;0.0000;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-10 09:48:54.1787;22987;0c7397e0b438319a6a49eba66ef15709;anonymous;ReceivingData;0.8229;NULL;NULL;NULL;NULL;NULL;4;(0.796 0.833 0.843 0.851 0.844 0.828 0.823 0.713 )
MotorImagery;2024-05-10 09:49:04.3880;25098;0c7397e0b438319a6a49eba66ef15709;anonymous;ReceivingData;0.8003;NULL;NULL;NULL;NULL;NULL;5;(0.759 0.781 0.784 0.800 0.705 0.726 0.734 0.745 )
SuccessfulHit;2024-05-10 09:49:04.3880;25098;0c7397e0b438319a6a49eba66ef15709;anonymous;NULL;0.7843;0.7843;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-10 09:49:05.5263;25331;0c7397e0b438319a6a49eba66ef15709;anonymous;ReceivingData;0.8914;NULL;NULL;NULL;NULL;NULL;6;(0.876 0.867 0.874 0.891 0.797 0.803 0.832 0.837 )
SuccessfulHit;2024-05-10 09:49:05.5269;25331;0c7397e0b438319a6a49eba66ef15709;anonymous;NULL;0.8735;0.8755;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-10 09:49:06.6663;25569;0c7397e0b438319a6a49eba66ef15709;anonymous;ReceivingData;0.8595;NULL;NULL;NULL;NULL;NULL;7;(0.888 0.886 0.884 0.860 0.903 0.897 0.907 0.892 )
SuccessfulHit;2024-05-10 09:49:06.6663;25569;0c7397e0b438319a6a49eba66ef15709;anonymous;NULL;0.8841;0.9069;NULL;NULL;NULL;TRUE;NULL;NULL
Resting;2024-05-10 09:49:08.0586;25857;0c7397e0b438319a6a49eba66ef15709;anonymous;NULL;0.4440;0.9069;28.7175;21.2825;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-10 09:49:18.8312;28091;0c7397e0b438319a6a49eba66ef15709;anonymous;ReceivingData;0.9186;NULL;NULL;NULL;NULL;NULL;8;(0.868 0.885 0.907 0.926 0.919 0.708 0.721 0.805 )
SuccessfulHit;2024-05-10 09:49:18.8322;28091;0c7397e0b438319a6a49eba66ef15709;anonymous;NULL;0.9258;0.9258;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-10 09:49:19.9754;28327;0c7397e0b438319a6a49eba66ef15709;anonymous;ReceivingData;0.9153;NULL;NULL;NULL;NULL;NULL;9;(0.929 0.923 0.917 0.919 0.915 0.932 0.941 0.936 )
SuccessfulHit;2024-05-10 09:49:19.9764;28327;0c7397e0b438319a6a49eba66ef15709;anonymous;NULL;0.9189;0.9407;NULL;NULL;NULL;TRUE;NULL;NULL
MotorImagery;2024-05-10 09:49:21.1166;28564;0c7397e0b438319a6a49eba66ef15709;anonymous;ReceivingData;0.7721;NULL;NULL;NULL;NULL;NULL;10;(0.865 0.831 0.788 0.781 0.772 0.900 0.900 0.885 )
SuccessfulHit;2024-05-10 09:49:21.1166;28564;0c7397e0b438319a6a49eba66ef15709;anonymous;NULL;0.7805;0.9407;NULL;NULL;NULL;TRUE;NULL;NULL
Resting;2024-05-10 09:49:22.1193;28774;0c7397e0b438319a6a49eba66ef15709;anonymous;NULL;0.8407;0.9407;6.0450;43.9550;50.0000;TRUE;NULL;NULL
MotorImagery;2024-05-10 09:49:22.2586;28801;0c7397e0b438319a6a49eba66ef15709;anonymous;ReceivingData;0.8284;NULL;NULL;NULL;NULL;NULL;11;(0.786 0.818 0.823 0.841 0.828 0.767 0.763 0.733 )
