Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidenceArr;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-08 14:22:07.3163;1;c11ea22123f5d0e6173bc4096bc8d794;anonymous;Connecting;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-08 14:22:10.2755;23;c11ea22123f5d0e6173bc4096bc8d794;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-08 14:22:10.3513;35;c11ea22123f5d0e6173bc4096bc8d794;anonymous;ReceivingData;NULL;NULL;NULL;NULL
GameStarted;2024-05-08 14:22:49.5844;8239;c11ea22123f5d0e6173bc4096bc8d794;anonymous;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-08 14:22:49.6039;8241;c11ea22123f5d0e6173bc4096bc8d794;anonymous;NULL;0.0624;(0.062 0.000 0.000 );NULL;NULL
MotorImagery;2024-05-08 14:23:05.9675;10868;c11ea22123f5d0e6173bc4096bc8d794;anonymous;ReceivingData;0.7504;NULL;1;(0.750 0.753 0.824 0.818 0.828 0.809 0.801 0.775 )
Rest;2024-05-08 14:23:05.9825;10869;c11ea22123f5d0e6173bc4096bc8d794;anonymous;ReceivingData;0.6839;NULL;1;(0.750 0.684 0.824 0.818 0.828 0.809 0.801 0.775 )
MotorImagery;2024-05-08 14:23:07.7509;11154;c11ea22123f5d0e6173bc4096bc8d794;anonymous;ReceivingData;0.7640;NULL;2;(0.751 0.764 0.756 0.795 0.812 0.809 0.764 0.761 )
Rest;2024-05-08 14:23:07.8794;11175;c11ea22123f5d0e6173bc4096bc8d794;anonymous;ReceivingData;0.7464;NULL;2;(0.760 0.746 0.756 0.795 0.812 0.809 0.764 0.767 )
Resting;2024-05-08 14:23:15.5786;12394;c11ea22123f5d0e6173bc4096bc8d794;anonymous;NULL;0.4234;(0.748 0.828 0.787 );NULL;NULL
MotorImagery;2024-05-08 14:23:36.2549;14857;c11ea22123f5d0e6173bc4096bc8d794;anonymous;ReceivingData;0.8716;NULL;3;(0.856 0.873 0.872 0.792 0.792 0.809 0.829 0.844 )
Rest;2024-05-08 14:23:37.7898;15043;c11ea22123f5d0e6173bc4096bc8d794;anonymous;ReceivingData;0.7460;NULL;3;(0.811 0.805 0.780 0.786 0.746 0.798 0.788 0.763 )
Resting;2024-05-08 14:23:41.5840;15489;c11ea22123f5d0e6173bc4096bc8d794;anonymous;NULL;0.2456;(0.773 0.789 0.902 );NULL;NULL
Resting;2024-05-08 14:24:07.5642;17773;c11ea22123f5d0e6173bc4096bc8d794;anonymous;NULL;0.5232;(0.491 0.688 0.560 );NULL;NULL
Resting;2024-05-08 14:24:33.5752;19361;c11ea22123f5d0e6173bc4096bc8d794;anonymous;NULL;0.5490;(0.686 0.728 0.660 );NULL;NULL
Resting;2024-05-08 14:24:59.5902;20441;c11ea22123f5d0e6173bc4096bc8d794;anonymous;NULL;0.0963;(0.533 0.698 0.509 );NULL;NULL
Resting;2024-05-08 14:25:25.5966;21120;c11ea22123f5d0e6173bc4096bc8d794;anonymous;NULL;0.1955;(0.657 0.563 0.565 );NULL;NULL
GameStopped;2024-05-08 14:26:10.0302;21308;c11ea22123f5d0e6173bc4096bc8d794;anonymous;NULL;NULL;NULL;NULL;NULL
