Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;MaxConfidence;DamageDone;HealthRemaining;TotalHealth;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2024-05-13 12:19:11.2665;1;ebffb02ead5ed8ba3a9bb34870e4eeec;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 12:19:12.0365;27;ebffb02ead5ed8ba3a9bb34870e4eeec;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2024-05-13 12:19:12.0365;27;ebffb02ead5ed8ba3a9bb34870e4eeec;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameStarted;2024-05-13 12:19:35.2913;5547;ebffb02ead5ed8ba3a9bb34870e4eeec;anonymous;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Resting;2024-05-13 12:19:35.2972;5547;ebffb02ead5ed8ba3a9bb34870e4eeec;anonymous;NULL;0.0000;0.0000;1.6000;0.0000;1.6000;NULL;NULL
Resting;2024-05-13 12:19:51.3518;9368;ebffb02ead5ed8ba3a9bb34870e4eeec;anonymous;NULL;0.3029;0.0000;1.5700;0.0300;1.6000;NULL;NULL
Resting;2024-05-13 12:20:05.4097;12748;ebffb02ead5ed8ba3a9bb34870e4eeec;anonymous;NULL;0.5536;0.0000;1.4164;0.1836;1.6000;NULL;NULL
Resting;2024-05-13 12:20:19.4678;16111;ebffb02ead5ed8ba3a9bb34870e4eeec;anonymous;NULL;0.3308;0.0000;1.3864;0.2136;1.6000;NULL;NULL
Resting;2024-05-13 12:20:33.5299;19472;ebffb02ead5ed8ba3a9bb34870e4eeec;anonymous;NULL;0.0543;0.0000;1.0787;0.5213;1.6000;NULL;NULL
Resting;2024-05-13 12:20:47.5900;22805;ebffb02ead5ed8ba3a9bb34870e4eeec;anonymous;NULL;0.2841;0.2841;0.8690;0.7310;1.6000;NULL;NULL
